[2023-07-07 03:34:11] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-07-07 03:34:11] [class-ss-archive-creation-job.php:77] Starting a job; no job is presently running
[2023-07-07 03:34:11] [class-ss-archive-creation-job.php:78] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2023-07-07 03:34:11] [class-ss-archive-creation-job.php:92] Pushing first task to queue: setup
[2023-07-07 03:34:12] [class-ss-archive-creation-job.php:125] Current task: setup
[2023-07-07 03:34:12] [class-ss-archive-creation-job.php:141] Performing task: setup
[2023-07-07 03:34:12] [class-ss-task.php:44] Status message: [setup] Setting up
[2023-07-07 03:34:15] [class-ss-setup-task.php:32] Creating archive directory: /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/simply-static/static-files/simply-static-1-1688700851/
[2023-07-07 03:34:15] [class-ss-setup-task.php:77] Adding origin URL to queue: http://msouden.local/
[2023-07-07 03:34:15] [class-ss-setup-task.php:121] Adding files from directory: /Users/msouden/Local Sites/msouden/app/public/wp-content/
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/.DS_Store to queue as: http://msouden.local/wp-content/.DS_Store
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/index.php to queue as: http://msouden.local/wp-content/index.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/index.php to queue as: http://msouden.local/wp-content/plugins/index.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/hypeanimations.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/hypeanimations.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/LICENSE to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/LICENSE
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_flat_75_ffffff_40x100.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_flat_75_ffffff_40x100.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_glass_75_e6e6e6_1x400.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_glass_75_e6e6e6_1x400.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_glass_65_ffffff_1x400.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/images/ui-bg_glass_65_ffffff_1x400.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/images/ui-icons_222222_256x240.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/images/ui-icons_222222_256x240.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/hypeanimations.css to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/hypeanimations.css
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/dropzone.css to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/dropzone.css
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/jquery-ui.css to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/jquery-ui.css
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/css/jquery.dataTables.min.css to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/css/jquery.dataTables.min.css
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/images/sort_asc_disabled.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/images/sort_asc_disabled.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/images/sort_both.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/images/sort_both.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/images/sort_desc_disabled.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/images/sort_desc_disabled.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/images/sort_desc.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/images/sort_desc.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/images/sort_asc.png to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/images/sort_asc.png
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/js/dropzone.js to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/js/dropzone.js
